timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168388.943,-14.160,23.926,7.324,-4.395,-37.109
1711168388.946,9.277,29.297,4.883,1.465,26.367
1711168388.950,37.598,26.855,4.395,-17.578,70.312
1711168388.954,11.719,22.949,5.371,-18.555,8.789
1711168388.958,-41.992,21.973,6.348,0.488,-20.020
1711168388.962,-33.203,18.555,8.301,-12.207,-8.301
1711168388.966,10.742,20.020,6.348,-17.578,42.969
1711168388.970,-3.418,22.949,5.859,-16.113,54.199
1711168388.974,-35.645,29.297,8.789,-24.902,-16.113
1711168388.978,-49.316,25.391,7.812,-32.227,8.789
1711168388.982,-30.762,21.484,3.418,-46.875,18.066
1711168388.986,-25.391,20.020,3.418,-68.848,-34.180
1711168388.989,-85.449,12.695,5.371,-86.426,-7.812
1711168388.993,-129.883,12.207,-2.930,-99.609,66.406
1711168388.997,-116.699,4.395,-11.719,-127.930,77.637
1711168389.001,-117.188,-3.418,-11.230,-168.945,21.973
1711168389.005,-172.852,-1.953,-14.160,-200.195,57.129
1711168389.009,-228.027,-5.371,-24.414,-212.402,91.309
1711168389.013,-219.238,-10.254,-37.109,-207.520,5.859
1711168389.017,-175.781,-5.859,-42.969,-210.449,38.086
1711168389.021,-173.340,-3.906,-47.363,-216.797,70.801
1711168389.025,-197.754,-4.395,-47.363,-204.102,70.312
1711168389.028,-195.801,-1.465,-42.969,-196.289,47.852
1711168389.032,0.000,-3.418,-41.504,-193.359,-9.766
1711168389.036,0.000,-9.766,-43.457,-183.105,44.434
1711168389.040,0.000,-13.184,-44.922,-169.434,14.648
1711168389.044,0.000,-3.906,-40.039,-162.109,-38.086
1711168389.048,0.000,15.625,-37.598,-147.949,29.785
1711168389.052,0.000,21.973,-40.039,-136.230,28.809
1711168389.056,0.000,13.672,-38.574,-117.188,27.344
1711168389.060,0.000,15.137,-36.621,-93.262,27.832
1711168389.064,0.000,23.438,-35.156,-93.262,45.410
1711168389.068,0.000,27.832,-35.156,-94.727,117.676
1711168389.071,0.000,25.879,-34.180,-78.613,37.598
1711168389.075,0.000,25.391,-28.320,-49.805,-11.230
1711168389.079,-38.086,25.391,-24.414,-42.480,35.156
1711168389.083,15.625,20.508,-20.508,-41.504,14.648
1711168389.087,16.602,23.438,-19.531,-28.809,1.465
1711168389.091,-30.762,29.785,-18.066,-8.789,30.762
1711168389.095,-30.273,29.785,-17.090,-0.488,77.637
1711168389.099,31.738,25.879,-22.949,-4.883,41.504
1711168389.103,58.594,17.578,-25.879,10.254,36.621
1711168389.107,20.996,15.137,-24.902,16.602,23.438
1711168389.110,0.488,22.461,-27.832,18.066,43.945
